RESPONSE;CODER;PTYNAME;PTYID;PGID;COUNTRY;CTRYID;YEAR;EUROPARTY;PARTYFAM1;PARTYFAM2;PARTYFAM3;CR2PTYFED;CR9DUESSTATE;CR12MBRNUM;CR13MBRYR;CR14AFFL;CR15AFFLYR;CR16ALLMBR;CR17ALLYR;CR20PPGLDR;CR21ORGLDR;CR22TOPCAND;CR23POLLDR;A4RECPARTYTXT;A5RECPPGTXT;A36MBRSTATE;A47LOWNAME;A67CONOTHER;A77EXCOTHER;A91EXCWOMTXT;A92EXCETHTXT;B2BALLOTTXT;B3CANLAW1TXT;B4CANLAW2TXT;B18CANWOMTXT;B19CANETH;B20CANETHTXT;B21CANRUL1;B22CANRUL2TXT;B23CANRUL3TXT;C11DEPUTY;C12DEPUTYTXT;C21PLTITLE;C30PLAFFLTXT;C58PLVOT2B;C59PLNAME
1;Gauja;Labor Party;1001;1253;Australia;1;2011;-999;2;2;2;5;New South Wales;45000;2011;1080000;2011;1125000;2011;Julia Gillard;Jenny McAllister (National President);Julia Gillard;Julia Gillard;500 members or 1 member of parliament;;;;;;;;;;;;;;;;;;;;;;
2;Gauja;Labor Party;1001;1253;Australia;1;2012;-999;2;2;2;5;New South Wales;44000;2011;1080000;2011;1125000;2011;Julia Gillard;Jenny McAllister;Julia Gillard;Julia Gillard;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Applicable;Not Applicable;-999;Not Applicable
3;Gauja;Labor Party;1001;1253;Australia;1;2013;-999;2;2;2;5;New South Wales;43000;2013;1080000;2011;1123000;2013;Bill Shorten;Jenny McAllister;Bill Shorten;Bill Shorten;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Parties must be registered with the Australian Electoral Commission. They must have either 500 members or one member of parliament and be established on the basis of a written constitution.;No legal rules.;No legal rules.;The party operates a 40:40:20 rule whereby candidates selected should be 40% men, 40% women and 20% of either gender. ;2;No rules.;1;Individual members have the right to vote for the candidate in their electorate (NSW).;No role.;;;;;;
4;Gauja;Labor Party;1001;1253;Australia;1;2014;-999;2;2;2;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Applicable;Not Applicable;-999;Not Applicable
5;Gauja;Liberal Party;1002;1411;Australia;1;2011;-999;1;1;1;3;New South Wales;80000;2011;-999;-999;80000;2011;Tony Abbott;Alan Stockdale (Federal President);Tony Abbott;Tony Abbott;500 members or 1 member of parliament;;;;;;;;;;;;;;;;;;;;;;
6;Gauja;Liberal Party;1002;1411;Australia;1;2012;-999;1;1;1;3;New South Wales;80000;2011;-999;-999;80000;2011;Tony Abbott;Alan Stockdale;Tony Abbott;Tony Abbott;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Applicable;Not Applicable;-999;Not Applicable
7;Gauja;Liberal Party;1002;1411;Australia;1;2013;-999;1;1;1;3;New South Wales;78000;2012;-999;-999;78000;2012;Tony Abbott;Alan Stockdale;Tony Abbott;Tony Abbott;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Parties must be registered with the Australian Electoral Commission. They must have either 500 members or one member of parliament and be established on the basis of a written constitution.;No legal rules.;No legal rules.;No rules.;2;No rules.;1;May participate in the selection committee established to select Liberal candidates (NSW).;No role.;;;;;;
8;Gauja;Liberal Party;1002;1411;Australia;1;2014;-999;1;1;1;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Applicable;Not Applicable;-999;Not Applicable
9;Gauja;National Party;1003;184;Australia;1;2011;-999;1;1;1;6;New South Wales;118300;1990;-999;-999;118300;1990;Warren Truss;John Tanner;Not Applicable;Warren Truss;500 members or 1 member of parliament;;;;;;;;;;;;;;;;;;;;;;
10;Gauja;National Party;1003;184;Australia;1;2012;-999;1;1;1;6;New South Wales;118300;1990;-999;-999;118300;1990;Warren Truss;John Tanner;Not Applicable;Warren Truss;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Applicable;Not Applicable;-999;Not Applicable
11;Gauja;National Party;1003;184;Australia;1;2013;-999;1;1;1;6;New South Wales;100000;2013;-999;-999;100000;2013;Warren Truss;John Tanner;Not Applicable;Warren Truss;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Parties must be registered with the Australian Electoral Commission. They must have either 500 members or one member of parliament and be established on the basis of a written constitution.;No legal rules.;No legal rules.;No rules.;2;No rules.;1;Individual members vote for candidates (NSW).;No role.;2;Not Applicable;Leader of the Federal Parliamentary Nationals;Federal parliamentary party selects the leader;-999;Warren Truss
12;Gauja;National Party;1003;184;Australia;1;2014;-999;1;1;1;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Applicable;Not Applicable;-999;Not Applicable
13;Gauja;The Greens;1004;751;Australia;1;2011;-999;4;4;4;2;New South Wales;10429;2010;-999;-999;10429;2010;Christine Milne;Andrea Milsom (National Convenor);Not Applicable;Christine Milne;500 members or 1 member of parliament;;;;;;;;;;;;;;;;;;;;;;
14;Gauja;The Greens;1004;751;Australia;1;2012;-999;4;4;4;2;New South Wales;10076;2012;-999;-999;10076;2012;Christine Milne;Christine Cunningham & Ben Spies Butcher (National Co-Convenors);Not Applicable;Christine Milne;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Applicable;Not Applicable;-999;Not Applicable
15;Gauja;The Greens;1004;751;Australia;1;2013;-999;4;4;4;2;New South Wales;10000;2013;-999;-999;10000;2013;Christine Milne;Christine Cunningham & Ben Spies Butcher (National Co-Convenors);Not Applicable;Christine Milne;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Parties must be registered with the Australian Electoral Commission. They must have either 500 members or one member of parliament and be established on the basis of a written constitution.;No legal rules.;No legal rules.;In the Senate (upper house where the Greens traditionally win more seats and where there is a party list) women are preferenced over men in the ballot to ensure that a women occupies every other place on the list.;2;No rules.;1;Individual members vote for candidates (NSW).;No role.;2;Not Applicable;Leader of the Federal Parliamentary Greens;Federal parliamentary party selects the leader;-999;Christine Milne
16;Gauja;The Greens;1004;751;Australia;1;2014;-999;4;4;4;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Applicable;Not Applicable;-999;Not Applicable
17;Mueller;Social Democratic Party;2001;973;Austria;2;2008;2;2;2;2;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;In order to be included on ballots, a party has to either collect the signatures of three MPs or 2600 signatures of eligible votes (Lower Austria, Vienna: 500 voters;;;;;;;;;;;;;;
18;Mueller;Social Democratic Party;2001;973;Austria;2;2011;2;2;2;2;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Parties are officially founded when they submit their statutes at the Ministry for Internal Affairs, publish them in a periodical publication and when there are no constitutional objections against their formation (e.g. because of a constitutional law that makes the formation of National Socialist organizations illegal).;5 MPs are required. If these MPs were not part of the same electoral list, a majority vote in the lower chamber (Nationalrat) is required to grant the formation of a legislative party group.;Not Applicable;Ortsorganisation/Stadtorganisation/Sektion;Social democratic trade unionists within the Austrian Trade Union Federation, Federal Educational Committee (Bundesbildungsausschuss), Working Group for Sports and Physical Culture (ASKÃ), Friends of Children organization (Kinderfreunde), Business federation (Wirtschaftsverband), Federation of Social Democratic academics, intellectuals and artists (BSA), social democratic teachers (SLÃ), local politics committee (Kommunalpolitischer Ausschuss), socialist (university) students (VSStÃ), critical pupils (AKS), friends of nature (Naturfreunde), social democratic liberation fighters, victims of fascism and active anti-fascists (Bund sozialdemokratischer FreiheitskÃ¤mpfer, Opfer des Faschismus und aktiver Antifaschisten), working group social democrats and homosexuality (SoHo), tenant association (Mietervereinigung), worker's singer federation (ÃASB), worker's fishermen (Arbeiter-Fischer-Verein) and other project- and initiative groups that are recognized by the party executive. ;Not Applicable;;;;;;;;;;;;;;;;;
